X,Y,t_id,art,druckzone,symbolori,hoehe,einbaujahr,druckzone_bemerkung,lagebestimmung,lagebestimmung_code,eigentuemer,bemerkung,name_nummer,art_code,dimension,zulaessiger_betriebsdruck,zustand,icon_url
7.62756201614756,46.1315874325042,"37",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"17","14",,0,unbekannt/inconnue,./0.png
7.62961039580311,46.1368562385808,"38",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"18","14",,0,unbekannt/inconnue,./0.png
7.63037867226788,46.1294061862141,"39",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"33","14",,0,unbekannt/inconnue,./0.png
7.62981927530824,46.1300302968303,"40",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"35","14",,0,unbekannt/inconnue,./0.png
7.63285103432075,46.131575289305,"41",pièce moulée (té),Zinal,100,0,"1900",EP_Z_8,inconnue,"1",inconnue,,"36","14",,0,unbekannt/inconnue,./0.png
7.63318728730659,46.131717624193,"42",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"39","14",,0,unbekannt/inconnue,./0.png
7.63387159631647,46.1311124177953,"43",pièce moulée (té),Zinal,100,0,"1900",EP_Z_8,inconnue,"1",inconnue,,"42","14",,0,unbekannt/inconnue,./0.png
7.63284779918498,46.1341530979505,"44",divers (inconnu),Zinal,313,0,"1900",EP_Z_8,inconnue,"1",inconnue,,"43","27",,0,unbekannt/inconnue,./0.png
7.59992224369558,46.1822046997436,"45",pièce moulée (té),Ayer,72.1,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"14","14",,0,unbekannt/inconnue,./0.png
7.62707627835048,46.1352646020773,"46",pièce moulée (té),Ayer,100,1680.51,"1900",EP_Z_1,inconnue,"1",inconnue,,"15","14",,0,unbekannt/inconnue,./0.png
7.62219490017565,46.1503494824168,"47",pièce moulée (té),Ayer,100,1565.53,"1900",EP_Z_1,inconnue,"1",inconnue,,"19","14",,0,unbekannt/inconnue,./0.png
7.59177577011802,46.2067937011789,"48",pièce moulée (coude horizontal),Ayer,10.4,1294.06,"1900",EP_Z_1,inconnue,"1",inconnue,,"21","11",,0,unbekannt/inconnue,./0.png
7.5916932990901,46.2071775018703,"49",pièce moulée (té),Ayer,100,1297.3,"1900",EP_Z_1,inconnue,"1",inconnue,,"22","14",,0,unbekannt/inconnue,./0.png
7.59137812347911,46.2072915315384,"50",élément de raccordement (inconnu),Ayer,283.9,1291.05,"1900",EP_Z_1,inconnue,"1",inconnue,,"28","0",,0,unbekannt/inconnue,./0.png
7.59150183502066,46.2071481731041,"51",élément de raccordement (inconnu),Ayer,284.2,1292.44,"1900",EP_Z_1,inconnue,"1",inconnue,,"30","0",,0,unbekannt/inconnue,./0.png
7.59148938292874,46.2071537974391,"52",élément de raccordement (inconnu),Ayer,281.6,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"31","0",,0,unbekannt/inconnue,./0.png
7.63057093657384,46.1291857275161,"53",pièce moulée (té),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"32","14",,0,unbekannt/inconnue,./0.png
7.62925704324502,46.1326528219564,"54",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"123","0",,0,unbekannt/inconnue,./0.png
7.629253337523,46.1326904462846,"55",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"124","0",,0,unbekannt/inconnue,./0.png
7.629798815381,46.1327262525551,"56",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"125","0",,0,unbekannt/inconnue,./0.png
7.62999983679631,46.1327744400804,"57",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"126","0",,0,unbekannt/inconnue,./0.png
7.63272060557183,46.1311495929834,"58",élément de raccordement (inconnu),Ayer,100,0,"1900",EP_Z_1,inconnue,"1",inconnue,,"127","0",,0,unbekannt/inconnue,./0.png
7.63253461263896,46.1314135069445,"59",élément de raccordement (inconnu),Zinal,92.6,0,"1900",EP_Z_8,inconnue,"1",inconnue,,"128","0",,0,unbekannt/inconnue,./0.png
