X,Y,t_id,einbaujahr,name_nummer,art,art_code,nennweite,typ,bemerkung,lagebestimmung,lagebestimmung_code,hoehenbestimmung,hoehenbestimmung_code,druckzone,druckzone_bemerkung,hoehe,symbolori,zustand,icon_url
7.60006159038492,46.1828469207847,"238","1900","367",vanne hydrant,"6","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1480.25,360,unbekannt/inconnue,./0.png
7.6000586154307,46.1828437945477,"239","1900","368",vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1480.04,271.7,unbekannt/inconnue,./0.png
7.60097402246776,46.1814904781857,"240","1900","369",vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Ayer,EP_Z_1,1478.81,216.1,unbekannt/inconnue,./0.png
7.62631589188835,46.1351236948276,"241","1900","375",vanne hydrant,"6","0.0","0",,précis,"0",inconnue,"1",Zinal,EP_Z_8,0,189.8,unbekannt/inconnue,./0.png
7.62666839807164,46.1351703599386,"242","1900","376",vanne de raccordement,"5","0.0","0",,inconnue,"1",inconnue,"1",Zinal,EP_Z_8,0,360,unbekannt/inconnue,./0.png
7.60506250371795,46.1787564198921,"243","1900","377",vanne de zone,"9","0.0","0",,précis,"0",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.60506247784647,46.1787479064993,"244","1900","378",vanne de zone,"9","0.0","0",,précis,"0",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.60491980768605,46.1787857747756,"245","1900","379",vanne de zone,"9","0.0","0",,précis,"0",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.60491978183686,46.1787772613828,"246","1900","380",vanne de zone,"9","0.0","0",,précis,"0",inconnue,"1",Ayer,EP_Z_1,0,360,unbekannt/inconnue,./0.png
7.59169289504035,46.2028083288592,"247","1900","555",vanne de tronçon,"7","0.0","0",,imprécis,"2",inconnue,"1",Ayer,EP_Z_1,0,266.2,unbekannt/inconnue,./0.png
