X,Y,t_id,name_nummer,art,typ,symbolori,hoehe,einbaujahr,eigentuemer,versorgungsdruck,fliessdruck,druckzone,druckzone_bemerkung,art_code,lagebestimmung,lagebestimmung_code,zustand,icon_url
7.58181595538966,46.1855309570594,"227","904",bouche arrosage,,100,0,"1970",inconnue,10.4,0,Grimentz,EP_Z_3,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.58255542871165,46.1869215331985,"228","903",bouche arrosage,,100,0,"1970",inconnue,10.2,0,Grimentz,EP_Z_3,"10",inconnue,"1",unbekannt/inconnue,./0.png
7.57041184466599,46.1726601676806,"229","933",borne hydrant une sortie,,100,0,"1970",inconnue,13,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57213822828248,46.175437811184,"230","932",borne hydrant une sortie,,100,0,"2008",inconnue,0,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57412721946996,46.1765654405311,"231","934",borne hydrant une sortie,,100,0,"1930",inconnue,12.4,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57467145993133,46.1796378525612,"232","926",borne hydrant une sortie,,100,0,"1970",inconnue,10.4,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57553454530297,46.1813657320989,"233","925",borne hydrant une sortie,,100,0,"1970",inconnue,12.8,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57675551779455,46.1779958742621,"234","917",borne hydrant une sortie,,100,0,"1970",inconnue,10,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57959455975184,46.186705426921,"235","919",borne hydrant une sortie,,100,0,"1970",inconnue,7.6,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57644672801431,46.1845659493363,"236","940",borne hydrant une sortie,,100,0,"1970",inconnue,10.6,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.56629221213564,46.1783791534687,"237","946",borne hydrant une sortie,,100,0,"1989",inconnue,10.2,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57920155275397,46.1846606716915,"238","921",borne hydrant une sortie,,100,0,"1970",inconnue,7.8,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57730761715823,46.1831436571891,"239","924",borne hydrant une sortie,,100,0,"1989",inconnue,12.8,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57279651841496,46.1771636185704,"240","931",borne hydrant une sortie,,100,0,"1970",inconnue,11,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.5735854988438,46.1800592062119,"241","927",borne hydrant une sortie,,100,0,"1970",inconnue,10,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57314194055661,46.1790676836946,"242","928",borne hydrant une sortie,,100,0,"1970",inconnue,8,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57229248247087,46.1785635282574,"243","929",borne hydrant une sortie,,100,0,"1970",inconnue,8.2,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57144154950803,46.178112077004,"244","930",borne hydrant une sortie,,100,0,"1970",inconnue,8.2,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57314079577638,46.1753148878534,"245","935",borne hydrant une sortie,,100,0,"1930",inconnue,12.4,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57262650009221,46.1745006195186,"246","936",borne hydrant une sortie,,100,0,"1970",inconnue,10,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.58156998243762,46.183406258029,"247","901",borne hydrant une sortie,,100,0,"1989",inconnue,10.2,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57200389932219,46.1793746004108,"248","944",borne hydrant une sortie,,100,0,"1970",inconnue,13,0,Grimentz,EP_Z_3,"1",inconnue,"1",unbekannt/inconnue,./0.png
7.57875932494577,46.1881091159036,"249","952",borne hydrant une sortie,,100,0,"1900",inconnue,4.8,0,Grimentz,EP_Z_3,"1",précis,"0",unbekannt/inconnue,./0.png
7.57851713748893,46.1853747720949,"250","951",borne hydrant une sortie,,100,0,"1989",inconnue,5,0,Grimentz,EP_Z_3,"1",précis,"0",unbekannt/inconnue,./0.png
7.56951593704198,46.176501883032,"251","948",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Grimentz,EP_Z_3,"1",précis,"0",unbekannt/inconnue,./0.png
7.56984068456737,46.1763360078473,"252","949",borne hydrant une sortie,,100,0,"1989",inconnue,10,0,Grimentz,EP_Z_3,"1",précis,"0",unbekannt/inconnue,./0.png
7.56990262305555,46.1742753266819,"253","950",borne hydrant une sortie,,100,0,"2008",inconnue,9.8,0,Grimentz,EP_Z_3,"1",précis,"0",unbekannt/inconnue,./0.png
7.57697575121647,46.2409344394488,"254","77",borne hydrant une sortie,,100,0,"1970",inconnue,6.5,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
7.57437679424087,46.2417933320705,"255","79",borne hydrant une sortie,,100,0,"1900",inconnue,0,0,Chandolin,EP_Z_2,"1",précis,"0",unbekannt/inconnue,./0.png
